symbol,date,entry,stop_loss,target,risk_pct,reward_pct,rr,atr_pct,volume_surge_pct,price,close_ema9,close_ema21,above_emas,result,exit_price,exit_date,pnl_pct
TCS,2026-06-02,2446.9,2422.43,2495.84,-1.0,2.0,2.0,2.33,212.8,2446.9,2317.66,2317.38,True,SL_HIT,2422.43,2026-06-09,-1.0
ICICIBANK,2026-06-09,1275.0,1262.25,1300.5,-1.0,2.0,2.0,1.89,145.4,1275.0,1256.76,1253.38,True,TARGET_HIT,1300.5,2026-06-11,2.0
BHARTIARTL,2026-05-14,1883.5,1864.66,1921.17,-1.0,2.0,2.0,2.35,214.4,1883.5,1820.96,1828.8,True,TARGET_HIT,1921.17,2026-05-21,2.0
BHARTIARTL,2026-05-15,1905.4,1886.35,1943.51,-1.0,2.0,2.0,2.43,137.4,1905.4,1837.9,1836.62,True,TARGET_HIT,1943.51,2026-05-22,2.0
INFY,2026-05-19,1171.55,1159.83,1194.98,-1.0,2.0,2.0,2.39,231.5,1171.55,1129.39,1156.06,True,SL_HIT,1159.83,2026-05-26,-1.0
INFY,2026-06-02,1243.88,1231.44,1268.76,-1.0,2.0,2.0,2.59,201.6,1243.88,1166.17,1152.49,True,SL_HIT,1231.44,2026-06-09,-1.0
BAJFINANCE,2026-05-26,930.2,920.9,948.8,-1.0,2.0,2.0,2.44,121.5,930.2,925.26,926.92,True,SL_HIT,920.9,2026-06-02,-1.0
SBIN,2026-06-04,979.25,969.46,998.84,-1.0,2.0,2.0,1.88,135.5,979.25,966.83,979.23,True,SL_HIT,969.46,2026-06-11,-1.0
SBIN,2026-06-05,977.7,967.92,997.25,-1.0,2.0,2.0,1.83,137.5,977.7,968.34,969.44,True,SL_HIT,967.92,2026-06-11,-1.0
SBIN,2026-06-09,1002.7,992.67,1022.75,-1.0,2.0,2.0,1.88,138.2,1002.7,977.07,968.12,True,TIME_EXIT,1000.7,2026-06-11,-0.2
LT,2026-05-29,4076.5,4035.74,4158.03,-1.0,2.0,2.0,1.63,254.8,4076.5,4002.85,3970.77,True,SL_HIT,4035.74,2026-06-05,-1.0
HCLTECH,2026-05-29,1183.8,1171.96,1207.48,-1.0,2.0,2.0,2.08,413.3,1183.8,1168.27,1171.64,True,TARGET_HIT,1207.48,2026-06-05,2.0
HCLTECH,2026-06-01,1195.1,1183.15,1219.0,-1.0,2.0,2.0,1.92,178.2,1195.1,1173.65,1173.96,True,TARGET_HIT,1219.0,2026-06-08,2.0
HCLTECH,2026-06-02,1243.5,1231.06,1268.37,-1.0,2.0,2.0,2.1,216.4,1243.5,1187.62,1180.24,True,SL_HIT,1231.06,2026-06-09,-1.0
SUNPHARMA,2026-05-18,1905.8,1886.74,1943.92,-1.0,2.0,2.0,1.96,124.6,1905.8,1854.68,1805.14,True,SL_HIT,1886.74,2026-05-25,-1.0
TITAN,2026-06-04,4231.0,4188.69,4315.62,-1.0,2.0,2.0,2.1,212.0,4231.0,4123.08,4150.31,True,SL_HIT,4188.69,2026-06-11,-1.0
TITAN,2026-06-05,4260.2,4217.6,4345.4,-1.0,2.0,2.0,2.0,155.6,4260.2,4152.37,4187.53,True,SL_HIT,4217.6,2026-06-11,-1.0
ASIANPAINT,2026-05-13,2617.6,2591.42,2669.95,-1.0,2.0,2.0,2.35,294.8,2617.6,2535.27,2501.68,True,SL_HIT,2591.42,2026-05-20,-1.0
ASIANPAINT,2026-05-22,2639.8,2613.4,2692.6,-1.0,2.0,2.0,2.5,129.6,2639.8,2596.67,2558.38,True,TARGET_HIT,2692.6,2026-05-29,2.0
